gpr_daily_id,gpr_date,article_count_n10d,gpr_daily_index,gpr_daily_acts_index,gpr_daily_threat_index,gpr_ma30,gpr_ma7,annotated_event
12838,2020-02-24,655,80.9176864624023,70.5850296020508,75.6962890625,75.7535095214844,78.5098648071289,
12839,2020-02-25,746,115.451416015625,44.2677116394043,155.079299926758,78.8242874145508,83.0846862792969,
12840,2020-02-26,678,102.601654052734,19.4830169677734,154.382217407227,79.8439331054688,89.9201889038086,
12841,2020-02-27,725,63.9668235778809,72.8799209594727,53.1904144287109,78.656379699707,83.1569595336914,
12842,2020-02-28,781,55.1387748718262,59.1974334716797,56.4302978515625,78.9271011352539,76.1876831054688,
12843,2020-02-29,1137,90.3162689208984,75.5159606933594,101.749488830566,75.6686935424805,78.0419769287109,
12844,2020-03-01,432,53.6758651733398,45.866268157959,63.761661529541,74.9919586181641,80.2955017089844,
12845,2020-03-02,686,106.233947753906,125.16276550293,104.398109436035,75.5648422241211,83.912109375,
12846,2020-03-03,700,123.038230895996,141.530197143555,86.5701217651367,78.2944488525391,84.9959411621094,
12847,2020-03-04,800,144.924835205078,140.350784301758,185.929016113281,79.5413589477539,91.042106628418,
12848,2020-03-05,753,79.1848907470703,122.797340393066,58.5286369323731,77.3939056396484,93.2161178588867,
12849,2020-03-06,839,51.3270301818848,55.1051216125488,78.7939147949219,76.8265609741211,92.6715850830078,
12850,2020-03-07,1134,64.2649841308594,69.8914566040039,68.0124435424805,75.9476928710938,88.9499664306641,
12851,2020-03-08,458,65.094123840332,28.8416709899902,84.1988067626953,75.4853439331055,90.5811462402344,
12852,2020-03-09,637,72.8036880493164,41.4740524291992,95.1319961547852,76.8731155395508,85.8053970336914,
12853,2020-03-10,786,71.645866394043,16.8059616088867,112.142646789551,78.2122039794922,78.4636306762695,
12854,2020-03-11,801,90.9818801879883,65.9649658203125,110.042594909668,80.419677734375,70.7574920654297,
12855,2020-03-12,841,74.8380279541016,70.6809539794922,72.0559844970703,79.9055862426758,70.1365127563477,
12856,2020-03-13,876,68.0664596557617,82.9362640380859,81.7546768188477,80.1066970825195,72.5278625488281,
12857,2020-03-14,1138,66.9499588012695,40.6267127990723,87.1371994018555,80.3766098022461,72.9114303588867,
12858,2020-03-15,413,32.0829811096191,15.9921131134033,53.3560066223145,78.4732208251953,68.1955490112305,
12859,2020-03-16,673,34.4546394348145,9.81388187408447,49.1144790649414,77.8230285644531,62.7171173095703,
12860,2020-03-17,702,99.0939025878906,94.0846557617188,86.3234786987305,78.6784515380859,66.6382675170898,
12861,2020-03-18,794,87.6119918823242,74.8648376464844,83.2595596313477,78.7772445678711,66.156852722168,
12862,2020-03-19,743,89.167366027832,97.7821960449219,81.5600051879883,78.9685668945313,68.2039031982422,
12863,2020-03-20,745,57.8031921386719,26.5962791442871,81.3410491943359,79.0702362060547,66.7377166748047,
12864,2020-03-21,1050,59.9416999816895,56.6120758056641,52.466739654541,77.3579788208008,65.7365417480469,
12865,2020-03-22,415,79.8209075927734,47.7451248168945,119.472457885742,76.5545501708984,72.5562438964844,
12866,2020-03-23,656,121.191497802734,40.272819519043,167.957550048828,78.0163955688477,84.9472198486328,
12867,2020-03-24,659,191.01301574707,100.22371673584,275.868377685547,83.1201171875,98.0785217285156,
12868,2020-03-25,745,53.3567924499512,17.7308540344238,81.3410491943359,82.2014236450195,93.1849212646484,
12869,2020-03-26,701,56.7058639526367,28.2656593322754,78.5878372192383,80.2432403564453,88.5475692749023,
12870,2020-03-27,699,52.1291046142578,47.2442245483398,55.168888092041,78.5608215332031,87.7369842529297,
12871,2020-03-28,1025,67.8672409057617,32.2182579040527,91.3689041137695,78.6908340454102,88.8692016601563,
12872,2020-03-29,399,157.741317749023,148.979156494141,151.877395629883,82.1109161376953,100.000686645508,
12873,2020-03-30,672,103.517738342285,39.3139457702637,139.364776611328,82.5509643554688,97.4758682250977,
12874,2020-03-31,668,89.2608032226563,59.3240356445313,107.211227416992,83.7371292114258,82.9398345947266,
12875,2020-04-01,707,65.5953979492188,9.34192752838135,101.297164916992,82.3825149536133,84.6882095336914,
12876,2020-04-02,696,47.5943641662598,9.48957252502441,79.1524047851563,79.8677215576172,83.3865661621094,
12877,2020-04-03,705,84.5761947631836,56.2105751037598,93.7703399658203,77.8560943603516,88.0218658447266,
12878,2020-04-04,996,76.4950332641602,46.4188766479492,94.0292434692383,77.7664337158203,89.2544097900391,
12879,2020-04-05,383,95.1390228271484,17.244758605957,143.838317871094,79.2268371582031,80.3112182617188,
12880,2020-04-06,667,99.3273620605469,108.923789978027,90.8531951904297,80.3955841064453,79.7126007080078,
12881,2020-04-07,653,106.529739379883,60.6867637634277,143.419799804688,81.7767715454102,82.1795883178711,
12882,2020-04-08,720,78.2134017944336,55.0395240783691,91.8167953491211,81.9570922851563,83.9821624755859,
12883,2020-04-09,707,60.9100112915039,84.0773468017578,38.96044921875,81.5992279052734,85.884391784668,
12884,2020-04-10,465,85.4856185913086,71.0187377929688,94.7786254882813,81.4160232543945,86.0143127441406,
12885,2020-04-11,926,42.9274444580078,7.13255119323731,65.4417724609375,80.3523330688477,81.2189407348633,
12886,2020-04-12,388,42.6877288818359,0.0,70.9923629760742,79.5063781738281,73.7258987426758,
12887,2020-04-13,597,88.7790298461914,77.4425430297852,92.278190612793,80.234016418457,72.218994140625,
12888,2020-04-14,763,91.1715927124023,43.2814064025879,137.183670043945,82.2036361694336,70.0249786376953,
12889,2020-04-15,777,89.5288619995117,68.0024948120117,99.2613983154297,84.0394439697266,71.641471862793,
12890,2020-04-16,752,48.4551124572754,17.565803527832,65.9322738647461,82.3514785766602,69.8621978759766,
12891,2020-04-17,721,73.5105209350586,45.8026542663574,84.0486602783203,81.8814315795898,68.1514739990234,
12892,2020-04-18,907,43.8266944885254,29.1278629302979,48.5910263061523,80.3700790405273,68.2799377441406,
12893,2020-04-19,442,37.4724845886231,14.9428567886353,49.8552742004395,79.6923828125,67.5348968505859,
12894,2020-04-20,640,25.8794345855713,0.0,43.0391235351563,78.5569763183594,58.549243927002,
12895,2020-04-21,735,54.0827369689941,35.9441795349121,59.9619903564453,77.6990356445313,53.2508354187012,
12896,2020-04-22,724,137.261093139648,136.838592529297,114.136894226074,78.2346954345703,60.0697250366211,
12897,2020-04-23,722,100.936965942383,82.3305816650391,114.453071594238,75.2321548461914,67.5671310424805,
12898,2020-04-24,795,45.8342704772949,8.30785179138184,76.2252655029297,74.9814071655273,63.6133842468262,
12899,2020-04-25,954,48.6121063232422,27.6928405761719,57.7464103698731,74.7116165161133,64.2970123291016,
12900,2020-04-26,404,40.9971237182617,16.3483734130859,54.5446281433106,74.3405456542969,64.8005294799805,
12901,2020-04-27,676,49.0024795532227,19.5406589508057,65.1953582763672,73.7117233276367,68.1038284301758,
12902,2020-04-28,727,95.6862716674805,127.188987731934,75.7772750854492,71.6432189941406,74.0471878051758,
12903,2020-04-29,667,79.4618988037109,99.0216293334961,66.0750579833984,70.8413619995117,65.7901611328125,
12904,2020-04-30,698,56.9495849609375,56.7742881774902,55.2479248046875,69.7643203735352,59.5062484741211,
12905,2020-05-01,658,60.4115676879883,60.2256164550781,50.2341117858887,69.5915222167969,61.5887184143066,
12906,2020-05-02,947,69.9591903686523,34.8719253540039,98.8945388793945,70.3370208740234,64.6383056640625,
12907,2020-05-03,380,26.1518497467041,0.0,43.4921646118164,68.3895416259766,62.5175476074219,
12908,2020-05-04,667,59.5964202880859,29.7064876556397,74.3344345092773,67.8262557983398,64.0309677124023,
12909,2020-05-05,716,41.6384201049805,36.8980026245117,38.4707221984863,66.0429000854492,56.3098487854004,
12910,2020-05-06,697,80.7943344116211,113.711494445801,47.4233093261719,65.4251327514648,56.5001945495606,
12911,2020-05-07,708,56.1452140808106,27.9861965179443,70.0297546386719,63.7456474304199,56.3852844238281,
12912,2020-05-08,705,70.4801635742188,93.6842880249023,54.6993637084961,63.4878730773926,57.8236541748047,
12913,2020-05-09,940,24.6680583953857,14.0526437759399,29.3032302856445,62.2798080444336,51.3534927368164,
12914,2020-05-10,397,41.7199974060059,0.0,69.3829650878906,60.8209533691406,53.5775146484375,
12915,2020-05-11,699,37.9120788574219,37.7953796386719,31.5250797271729,60.6537780761719,50.4797515869141,
12916,2020-05-12,672,39.4353294372559,9.82848644256592,57.385498046875,60.5453643798828,50.1650238037109,
12917,2020-05-13,779,59.5326652526856,33.9139556884766,70.7189712524414,59.570484161377,47.1276435852051,
12918,2020-05-14,726,82.1297760009766,45.4872055053711,98.6461410522461,59.2690887451172,50.8397254943848,
12919,2020-05-15,723,45.8169822692871,27.4055728912354,53.3375587463379,57.8120269775391,47.3164138793945,
12920,2020-05-16,956,51.9754371643066,55.2698097229004,46.1004791259766,57.929370880127,51.2174682617188,
12921,2020-05-17,395,75.4762268066406,33.4417343139648,111.574836730957,57.9948959350586,56.0397834777832,
12922,2020-05-18,613,135.096557617188,140.067947387695,125.81746673584,61.037223815918,69.9232788085938,
12923,2020-05-19,666,99.4765090942383,79.3362503051758,99.2613983154297,63.1040229797363,78.5005950927734,
12924,2020-05-20,731,99.6942443847656,45.1760787963867,128.116455078125,65.5645217895508,84.2379608154297,
